Time,Episode,Steps,Steps-RA,Steps-SA,ActorLoss,ActorLoss-RA,ActorLoss-SA,CriticLoss,CriticLoss-RA,CriticLoss-SA,AgentAC_reward,Reward-RA,Reward-SA,AgentAC_Win,Wins-RA,Wins-SA,Agent0_reward
1598868896.1610925,0,159,159.0,159.0,-0.0006404112209565938,-0.0006404112209565938,-0.0006404112209565938,0.89996337890625,0.89996337890625,0.89996337890625,12.18,12.18,12.18,0,0.0,0.0,0.22999999999999932
1598868896.4950452,1,286,222.5,222.5,-0.009892281144857407,-0.005266346182907,-0.005266346182907,0.4761774241924286,0.6880704015493393,0.6880704015493393,11.559999999999999,11.87,11.87,0,0.0,0.0,-0.420000000000001
1598868896.6954641,2,72,172.33333333333334,172.33333333333334,0.012232568114995956,0.0005666252497273186,0.0005666252497273186,0.835456371307373,0.7371990581353506,0.7371990581353506,12.62,12.12,12.12,0,0.0,0.0,0.6599999999999997
1598868896.943134,3,157,168.5,168.5,0.009103190153837204,0.00270076647575479,0.00270076647575479,0.808570146560669,0.7550418302416801,0.7550418302416801,1.2299999999999993,9.397499999999999,9.397499999999999,0,0.0,0.0,12.2
1598868897.158872,4,63,147.4,147.4,0.01976664923131466,0.006113943026866764,0.006113943026866764,1.4500813484191895,0.894049733877182,0.894049733877182,1.6899999999999997,7.855999999999999,7.855999999999999,0,0.0,0.0,12.68
1598868897.381546,5,132,144.83333333333334,144.83333333333334,-0.007262709550559521,0.00388450093062905,0.00388450093062905,0.9312179684638977,0.9002444396416346,0.9002444396416346,0.35999999999999943,6.606666666666666,6.606666666666666,0,0.0,0.0,12.32
1598868897.66073,6,168,148.14285714285714,148.14285714285714,0.00339879491366446,0.0038151143567769657,0.0038151143567769657,0.6947159767150879,0.8708832306521279,0.8708832306521279,12.149999999999999,7.398571428571428,7.398571428571428,0,0.0,0.0,1.1699999999999993
1598868897.8833866,7,99,142.0,142.0,-0.0181980449706316,0.001063469440850895,0.001063469440850895,0.7515720725059509,0.8559693358838558,0.8559693358838558,12.48,8.03375,8.03375,0,0.0,0.0,0.5299999999999996
1598868898.0463047,8,131,140.77777777777777,140.77777777777777,0.005891276057809591,0.00159989239829075,0.00159989239829075,0.6716701984405518,0.8354916539457109,0.8354916539457109,0.36999999999999944,7.182222222222222,7.182222222222222,0,0.0,0.0,12.32
1598868898.1843262,9,73,134.0,134.0,0.014426509849727154,0.0028825541434343905,0.0028825541434343905,1.1354589462280273,0.8654883831739426,0.8654883831739426,0.6599999999999997,6.529999999999999,6.529999999999999,0,0.0,0.0,12.61
1598868898.3314683,10,130,133.63636363636363,133.63636363636363,0.0035426467657089233,0.002942562563641166,0.002942562563641166,0.9996656775474548,0.8776863190260801,0.8776863190260801,0.37999999999999945,5.97090909090909,5.97090909090909,0,0.0,0.0,12.32
1598868898.9311724,11,200,139.16666666666666,139.16666666666666,-0.013151050545275211,0.0016014281378981348,0.0016014281378981348,0.9892703890800476,0.8869849915305773,0.8869849915305773,12.0,6.473333333333333,6.473333333333333,0,0.0,0.0,-7.528699885739343e-16
1598868899.143251,12,75,134.23076923076923,134.23076923076923,-0.012043388560414314,0.0005518268534125617,0.0005518268534125617,0.7105754017829895,0.8734150230884552,0.8734150230884552,12.6,6.944615384615384,6.944615384615384,0,0.0,0.0,0.6499999999999997
1598868899.3502858,13,131,134.0,134.0,0.0006911841919645667,0.0005617809490234192,0.0005617809490234192,0.7375397086143494,0.8637096434831619,0.8637096434831619,0.3499999999999994,6.473571428571427,6.473571428571427,0,0.0,0.0,12.34
1598868899.5664632,14,125,133.4,133.4,-0.003635958768427372,0.00028193163452669976,0.00028193163452669976,0.8377028107643127,0.8619758546352386,0.8619758546352386,0.38999999999999946,6.067999999999999,6.067999999999999,0,0.0,0.0,12.36
1598868899.851798,15,159,135.0,135.0,-0.011570128612220287,-0.0004588221308949869,-0.0004588221308949869,0.41974663734436035,0.8343365285545588,0.8343365285545588,12.19,6.450624999999999,6.450624999999999,0,0.0,0.0,0.2199999999999993
1598868900.0305698,16,162,136.58823529411765,136.58823529411765,0.010751941241323948,0.00020063453805906808,0.00020063453805906808,1.1865710020065308,0.8550562034634983,0.8550562034634983,0.2099999999999993,6.0835294117647045,6.0835294117647045,0,0.0,0.0,12.17
1598868900.2844825,17,126,136.0,136.0,-0.0024912834633141756,5.108353798277676e-05,5.108353798277676e-05,0.8032271862030029,0.852176813615693,0.852176813615693,12.34,6.43111111111111,6.43111111111111,0,0.0,0.0,0.39999999999999947
1598868900.5325253,18,197,139.21052631578948,139.21052631578948,-0.003100820817053318,-0.0001148061649138598,-0.0001148061649138598,0.7083305716514587,0.8446059587754702,0.8446059587754702,12.01,6.724736842105262,6.724736842105262,0,0.0,0.0,0.019999999999999248
1598868900.9177878,19,178,141.15,141.15,0.005800765939056873,0.00018097244028467686,0.00018097244028467686,0.6175625324249268,0.833253787457943,0.833253787457943,12.09,6.992999999999999,6.992999999999999,0,0.0,0.0,0.12999999999999923
1598868901.0496361,20,96,139.0,139.0,-0.005753983277827501,-0.00010164449867304592,-0.00010164449867304592,0.8130573034286499,0.8322920501232147,0.8322920501232147,0.5499999999999996,6.686190476190476,6.686190476190476,0,0.0,0.0,12.49
1598868901.3343043,21,66,135.6818181818182,135.6818181818182,-0.01778465323150158,-0.0009054176228925247,-0.0009054176228925247,0.37422749400138855,0.811470933935859,0.811470933935859,12.65,6.957272727272727,6.957272727272727,0,0.0,0.0,0.6899999999999997
