Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
0,362,0.006097331177443266,0.0003048370126634836,-16.099999999999994,-4.0,18.0,-5.0
1,222,0.006097323726862669,0.0023291013203561306,11.9,-8.0,-5.0,-8.0
2,692,0.00609731487929821,0.0004530914011411369,-20.699999999999967,-5.0,-3.0,18.0
3,250,0.006097306031733751,0.002505230950191617,-13.500000000000004,-8.0,18.0,-6.0
4,392,0.0060972971841692924,0.006011404097080231,-14.899999999999991,-6.0,-7.0,18.0
5,564,0.006097288802266121,0.002696364652365446,-18.799999999999983,-5.0,18.0,-5.0
6,575,0.0060972776263952255,0.0001260824064956978,-21.699999999999974,-6.0,-5.0,18.0
7,257,0.006097268313169479,1.6431040421593934e-06,-10.4,-5.0,18.0,-8.0
8,353,0.006097258999943733,0.006587482988834381,-13.200000000000003,-8.0,-5.0,18.0
9,252,0.006097249686717987,0.006566908210515976,-13.000000000000004,-4.0,18.0,-6.0
10,223,0.006097239442169666,0.00014850897423457354,-12.8,-8.0,18.0,-8.0
11,429,0.006097229663282633,0.0005493112839758396,-17.899999999999988,-8.0,-8.0,18.0
12,459,0.006097219418734312,0.00032164406729862094,6.800000000000004,-3.0,-6.0,-7.0
13,241,0.006097210105508566,0.0013080373173579574,-12.900000000000002,18.0,-8.0,-4.0
14,264,0.006097199860960245,0.002703668549656868,-12.600000000000003,-8.0,18.0,-8.0
15,330,0.006097190082073212,0.0007175476639531553,-15.599999999999998,18.0,-7.0,-6.0
16,417,0.006097179837524891,0.0004303105815779418,7.599999999999994,-6.0,-6.0,-3.0
17,453,0.00609716959297657,9.217318620358128e-06,-15.799999999999994,18.0,-5.0,-5.0
18,373,0.006097159348428249,0.0003405045426916331,-15.599999999999994,18.0,-7.0,-7.0
19,442,0.006097149103879929,0.0007841819897294044,-15.499999999999995,18.0,-6.0,-3.0
20,405,0.006097138859331608,0.003792011411860585,-12.8,-7.0,18.0,-6.0
21,336,0.006097127683460712,0.005195303354412317,-12.100000000000001,-6.0,-7.0,18.0
22,336,0.006097117438912392,8.914818863559049e-06,-13.600000000000005,-4.0,-4.0,18.0
23,233,0.006097107194364071,0.0032240685541182756,-12.3,-7.0,18.0,-8.0
24,299,0.0060970960184931755,0.001834485330618918,-14.200000000000003,-8.0,-5.0,18.0
25,286,0.006097086239606142,0.0021410712506622076,-11.3,-8.0,18.0,-8.0
26,330,0.006097075529396534,0.0038960587698966265,-14.8,18.0,-4.0,-5.0
27,315,0.006097065284848213,0.0003980934270657599,-11.900000000000002,-3.0,18.0,-8.0
28,294,0.006097054108977318,0.0008791940053924918,9.999999999999998,-8.0,-8.0,-6.0
29,425,0.00609704339876771,0.0029135597869753838,-13.700000000000005,-8.0,-7.0,18.0
30,426,0.006097032222896814,0.0007595252245664597,7.100000000000005,-5.0,-8.0,-8.0
31,394,0.006097022444009781,0.006844459101557732,-13.499999999999996,-7.0,18.0,-3.0
32,481,0.0060970112681388855,5.346026227925904e-06,-14.700000000000001,18.0,-7.0,-5.0
33,269,0.006097000557929277,0.00678786588832736,-13.900000000000002,-6.0,-8.0,18.0
34,334,0.006096989382058382,0.0058026560582220554,-12.100000000000001,18.0,-4.0,-5.0
35,386,0.006096978206187487,6.699849109281786e-06,-14.700000000000001,-5.0,18.0,-8.0
