Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
0,470,1246.3544921875,1.0069379806518555,-15.5,-7.0,18.0,-3.0
1,433,-976.4425048828125,0.9975485801696777,7.099999999999995,-5.0,-5.0,-4.0
2,382,728.0012817382812,1.0035583972930908,-15.100000000000001,18.0,-7.0,-7.0
3,408,-206.30181884765625,1.0019185543060303,8.099999999999994,-6.0,-4.0,-5.0
4,1092,-213.48912048339844,1.0041874647140503,-30.900000000000016,18.0,-3.0,-5.0
5,346,258.82098388671875,0.9987095594406128,-15.2,-8.0,18.0,-5.0
6,361,889.1758422851562,1.0002071857452393,-12.900000000000004,18.0,-8.0,-5.0
7,341,-1760.735595703125,1.0046714544296265,9.399999999999997,-5.0,-6.0,-3.0
8,360,-1074.4364013671875,1.0176118612289429,-14.099999999999998,18.0,-8.0,-7.0
9,441,-359.7181091308594,1.0238640308380127,-15.299999999999988,-6.0,18.0,-6.0
10,246,-1463.002685546875,1.0002703666687012,11.4,-6.0,-8.0,-7.0
11,278,279.0029296875,1.014528751373291,10.499999999999996,-8.0,-8.0,-8.0
12,639,903.3300170898438,1.0036133527755737,-20.49999999999997,-3.0,18.0,-3.0
13,353,369.6414794921875,0.9969558715820312,-12.000000000000004,18.0,-7.0,-4.0
14,220,1627.349609375,0.9719238877296448,-12.3,-8.0,-8.0,18.0
15,231,-192.89398193359375,1.0205268859863281,-13.000000000000002,18.0,-8.0,-8.0
16,234,219.58477783203125,1.0234323740005493,-11.5,18.0,-8.0,-4.0
17,285,1027.7445068359375,1.0111327171325684,-13.500000000000004,18.0,-6.0,-5.0
18,298,-19.651607513427734,1.0004887580871582,-15.0,18.0,-8.0,-8.0
19,798,77.40625762939453,1.0064733028411865,-22.599999999999973,18.0,-5.0,-5.0
20,295,748.7236328125,1.01947820186615,-12.700000000000003,-8.0,-8.0,18.0
21,325,2162.266845703125,0.964504063129425,-15.799999999999997,-7.0,-6.0,18.0
22,384,-591.7936401367188,0.9947977066040039,-14.5,-7.0,18.0,-6.0
23,412,-1423.4185791015625,0.9976398348808289,7.699999999999996,-8.0,-5.0,-5.0
24,711,781.6981811523438,0.9961134195327759,-22.499999999999964,-3.0,-4.0,18.0
25,367,-1036.584716796875,0.9887664914131165,8.599999999999994,-5.0,-8.0,-3.0
26,374,403.9619140625,1.0163596868515015,-14.899999999999991,-5.0,18.0,-7.0
27,327,2324.32666015625,0.9990597367286682,-12.300000000000004,18.0,-7.0,-5.0
28,269,-406.1631164550781,0.9816697835922241,10.799999999999999,-6.0,-7.0,-6.0
29,539,683.7203979492188,1.0127589702606201,-16.19999999999999,-7.0,18.0,-5.0
30,419,417.8728942871094,0.9953306317329407,-16.79999999999999,-8.0,-5.0,18.0
31,357,1904.4324951171875,1.0240768194198608,-11.200000000000001,-4.0,-4.0,18.0
32,369,1958.968994140625,1.003393292427063,-16.299999999999994,18.0,-5.0,-3.0
33,469,849.451171875,1.0291668176651,6.299999999999995,-4.0,-5.0,-4.0
34,903,1290.4208984375,0.9995777606964111,-25.29999999999996,-6.0,18.0,-5.0
35,338,-638.7271728515625,1.0171382427215576,9.299999999999997,-8.0,-7.0,-4.0
36,479,-711.358154296875,0.9935055375099182,5.899999999999998,-5.0,-3.0,-7.0
37,452,979.6144409179688,1.003339409828186,-15.199999999999985,-4.0,18.0,-6.0
38,470,-398.1491394042969,0.986534595489502,-17.799999999999986,18.0,-3.0,-8.0
39,316,-546.1101684570312,1.0095469951629639,-13.800000000000002,18.0,-8.0,-8.0
40,410,-1099.91259765625,0.9826821684837341,-15.100000000000001,-6.0,-5.0,18.0
41,417,1184.80908203125,0.985909640789032,-13.000000000000004,-4.0,-5.0,18.0
42,319,42.31019973754883,1.0330004692077637,9.899999999999999,-4.0,-6.0,-3.0
43,314,-1040.9544677734375,0.9839150905609131,10.099999999999998,-8.0,-7.0,-4.0
44,409,1278.70849609375,0.9728657603263855,-17.49999999999999,-8.0,18.0,-8.0
45,451,596.4512329101562,0.931485116481781,-14.200000000000005,-5.0,-3.0,18.0
46,257,-617.2444458007812,1.0226954221725464,10.599999999999998,-8.0,-7.0,-8.0
47,523,1919.8406982421875,1.018978476524353,-15.899999999999991,18.0,-5.0,-5.0
48,455,-876.342041015625,1.0423370599746704,6.4,-8.0,-5.0,-6.0
49,167,637.3875122070312,0.9854693412780762,-11.700000000000001,-8.0,-8.0,18.0
50,711,-371.94671630859375,0.9951258301734924,0.20000000000002416,-3.0,-4.0,-4.0
51,502,915.6236572265625,1.0102249383926392,-16.599999999999994,-8.0,-3.0,18.0
52,269,2196.36279296875,0.986008882522583,-13.700000000000003,18.0,-6.0,-8.0
53,402,-591.7798461914062,1.0149140357971191,-14.499999999999993,18.0,-4.0,-7.0
54,297,-1280.3980712890625,0.9767488241195679,-14.8,-6.0,-8.0,18.0
55,318,-592.2794799804688,0.9864155054092407,-15.2,18.0,-5.0,-5.0
56,486,790.492431640625,0.9859188199043274,-16.899999999999984,-5.0,-6.0,18.0
57,323,-85.53083038330078,1.0260295867919922,-15.099999999999998,18.0,-4.0,-5.0
58,355,-101.35519409179688,1.0041706562042236,-13.2,18.0,-5.0,-6.0
59,429,26.25001335144043,1.0049580335617065,-17.199999999999992,-5.0,-4.0,18.0
60,200,-831.00390625,0.9902747273445129,12.399999999999999,-7.0,-7.0,-8.0
61,442,651.7686157226562,0.9839634299278259,-16.99999999999999,18.0,-3.0,-5.0
62,226,73.38692474365234,0.9629226922988892,-12.3,18.0,-8.0,-8.0
63,367,896.067626953125,1.0101509094238281,-14.899999999999995,-7.0,18.0,-8.0
64,319,1354.092041015625,0.973537266254425,-15.099999999999998,-4.0,18.0,-5.0
65,427,2315.35498046875,0.9953790307044983,-17.69999999999999,18.0,-3.0,-5.0
66,368,421.32733154296875,0.9784236550331116,-13.900000000000006,-7.0,18.0,-7.0
67,401,1492.068359375,1.0040501356124878,-17.39999999999999,-4.0,18.0,-3.0
68,366,-743.9984741210938,0.999372661113739,8.999999999999998,-3.0,-3.0,-5.0
69,387,955.9947509765625,0.9785837531089783,-13.500000000000005,18.0,-7.0,-4.0
70,310,1018.58544921875,1.0094534158706665,-14.5,-5.0,18.0,-5.0
71,292,-1885.122802734375,1.0216343402862549,10.399999999999999,-6.0,-7.0,-8.0
72,328,-1058.92041015625,0.9903411269187927,9.699999999999996,-8.0,-3.0,-5.0
73,226,-823.184814453125,1.0583347082138062,11.7,-8.0,-7.0,-8.0
74,210,1122.0516357421875,1.011319875717163,-12.400000000000002,-6.0,-8.0,18.0
75,302,1110.011474609375,0.9931524991989136,-14.899999999999999,-8.0,18.0,-8.0
76,382,-829.1041259765625,0.9940418004989624,-12.500000000000004,18.0,-8.0,-8.0
77,318,1873.9813232421875,1.0193359851837158,-14.7,-7.0,-5.0,18.0
78,443,-690.3419799804688,1.026925802230835,6.800000000000001,-6.0,-3.0,-7.0
79,363,60.942909240722656,1.0172696113586426,-14.8,18.0,-8.0,-5.0
80,665,829.78857421875,0.9962051510810852,-19.19999999999999,-3.0,18.0,-5.0
81,422,848.153076171875,0.9956580400466919,-17.59999999999999,18.0,-3.0,-7.0
82,277,778.8804321289062,0.9950277209281921,-13.100000000000003,-6.0,-8.0,18.0
83,241,760.6827392578125,0.9671398997306824,-13.200000000000003,18.0,-8.0,-4.0
84,548,-1766.6842041015625,1.0241882801055908,4.500000000000024,-6.0,-3.0,-6.0
85,476,43.3610954284668,1.0093201398849487,-15.100000000000001,-8.0,-5.0,18.0
86,331,-1573.5732421875,1.0126266479492188,9.299999999999997,-4.0,-6.0,-8.0
87,327,827.2378540039062,1.0013432502746582,-15.099999999999998,18.0,-7.0,-8.0
88,299,1309.2337646484375,0.9876310229301453,-13.600000000000003,18.0,-6.0,-7.0
89,246,177.2556915283203,0.9992255568504333,-12.500000000000002,18.0,-7.0,-4.0
90,433,1530.802978515625,0.9839267730712891,-15.499999999999995,-4.0,18.0,-3.0
91,265,-909.0579223632812,0.9880975484848022,-14.5,18.0,-8.0,-5.0
