Episode,Steps,ActorLoss,CriticLoss,Reward
0,579,0.0015605702483141876,0.013057472905637935,7.0
1,264,0.0015258585000551786,0.018819231100761415,5.0
2,316,0.001467620452889536,0.012775994974699468,4.0
3,379,0.0015769978397891986,0.018437933894355624,6.0
4,317,0.0014240890888244572,0.012406853987131787,4.0
5,458,0.001584749960637444,0.016460592621150957,8.0
6,327,0.001380676219940459,0.008214671768417732,2.0
7,251,0.0017247788916041414,0.03136181153026375,8.0
8,331,0.0015102854291162823,0.017793893118531006,5.0
9,406,0.0015898695504613992,0.01811925291473065,8.0
10,270,0.0015121380263870513,0.014948162486242651,4.0
11,399,0.0014804922555454244,0.016063998781028113,5.0
12,239,0.0017818223829205815,0.0351139893108529,8.0
13,484,0.0015208221950822256,0.014626539834116667,5.0
14,481,0.0015174982432283755,0.015002826035094875,5.0
15,171,0.0012802063972193595,0.019593767125206347,2.0
16,422,0.0015403289453819464,0.013386409912995275,3.0
17,346,0.0014749633934284221,0.013598888602661325,3.0
18,289,0.0013234934618110063,0.01643596689803493,3.0
19,359,0.0015366979859105226,0.017050962536505596,4.0
20,581,0.0014950971595186374,0.01069886571670983,4.0
21,420,0.0015713498417642855,0.021570628918593387,8.0
22,635,0.0014811916423477527,0.008633793483655599,2.0
23,269,0.0014154701995694504,0.02130936500174806,3.0
24,459,0.0014358775889042417,0.009012634214462767,2.0
25,300,0.0016129923161740105,0.028802357648793873,8.0
26,360,0.0014849026790923541,0.017766993198162002,2.0
27,397,0.0014906618368790792,0.01625438388877628,4.0
28,652,0.0015363595369871866,0.016006438489507863,8.0
29,292,0.0016253909992360292,0.034802885503613774,8.0
30,450,0.0014966980719731914,0.022526176425940826,5.0
31,395,0.0015857875559337532,0.031449181912145685,8.0
32,398,0.0013447635158915167,0.020992143130274254,2.0
33,294,0.0016430360581852546,0.042439813587487545,8.0
34,456,0.0013987680206794227,0.026101383900406238,4.0
35,283,0.0013266443850821403,0.030484742774810284,2.0
36,270,0.0013798644524757508,0.03277454992709223,3.0
37,413,0.0014373717793504783,0.038492262999417826,6.0
38,265,0.0012444248985288278,0.04443993647873867,2.0
39,494,0.0014827334800893478,0.028623563974826235,7.0
40,300,0.0013740837931012113,0.040364731597713706,4.0
41,364,0.0013337453359042058,0.038387167368367815,2.0
42,323,0.0014023615073285789,0.041447594375862276,4.0
43,280,0.0011786986574796694,0.052811149489146406,3.0
44,273,0.0013939673814499553,0.04324992301404991,2.0
45,169,0.0013889819576498672,0.07272687364573185,2.0
46,318,0.001183528842627065,0.045320580320688086,2.0
47,345,0.00133924494780924,0.037481424891318414,2.0
48,467,0.0012864276210376613,0.03999428698003667,5.0
49,363,0.001097513630873326,0.04528911559424089,2.0
50,385,0.0011791233021717566,0.04010590189391356,3.0
51,281,0.0010556683666818507,0.058241332852726875,2.0
52,214,0.0010422427276863117,0.0695057997977996,2.0
53,504,0.0012357710372833978,0.029755595897474525,4.0
54,309,0.0011774218659305457,0.04380213012074501,3.0
55,443,0.0011368509682639593,0.03531931478232199,3.0
56,745,0.0009851132013253717,0.02448631743836447,5.0
57,608,0.0009638476740771072,0.022131029199045048,2.0
58,300,0.0008787027529130379,0.052943749309911255,2.0
59,366,0.000747525565774063,0.04457770890393143,2.0
60,341,0.0007947563805516339,0.03965971269445828,2.0
61,301,0.0010568580034798463,0.04040953602364416,2.0
62,832,0.0006230442984535609,0.020557709129413126,2.0
63,381,0.0006561620995705444,0.03081079858518007,2.0
64,458,0.0006375965857003941,0.028026879019395046,2.0
65,388,0.0005954067785648111,0.028159642283280283,2.0
66,522,0.0005248059031118235,0.021403539683693816,2.0
67,444,0.0005427156776915564,0.030417437715021783,3.0
68,261,0.000652042956633843,0.04054442882081547,2.0
69,401,0.0004922728779426128,0.029495374294568857,3.0
70,452,0.0003270301551906293,0.029040102874615812,2.0
71,754,0.00026138496105942077,0.018450442695797903,2.0
72,425,0.00024717795854324804,0.02937408521073902,2.0
73,201,0.0006173938253329167,0.0528212468000118,2.0
74,418,0.0002761209103987334,0.027585776093630783,2.0
75,323,0.0003207021148878239,0.034133335047717935,2.0
76,250,0.0004933044486679137,0.0363590073773812,2.0
77,363,0.00037635701369191453,0.02504873795958632,2.0
78,200,0.00045484570815460754,0.03951315342899761,2.0
79,322,0.0003435743218128749,0.0328783826983465,2.0
80,287,0.0002829045622539788,0.028781862773301244,2.0
81,237,0.00024569882572390817,0.03814561939405582,2.0
82,301,0.0003898963486880955,0.034478444963094164,2.0
83,210,0.00037729811682809324,0.03954156232329773,2.0
84,320,0.00036008081733598376,0.025603981760645666,2.0
85,420,0.00016435661940098119,0.02495335500526134,2.0
86,419,0.00024993080313918725,0.026503906729024043,2.0
87,297,0.00018183141620966892,0.029569221259961913,2.0
88,318,0.00029926034277773597,0.030275595107094024,2.0
89,278,0.00025126377734935193,0.03426043068753093,2.0
90,646,0.0001484930339686435,0.019323919724232808,2.0
91,213,0.000285791013058616,0.046433536713492526,2.0
92,461,0.00017639503827158952,0.025824625273228867,2.0
93,204,0.00024298741353798986,0.036691227410283675,2.0
94,285,0.00020528674029169212,0.02932532111393684,2.0
95,414,0.00016068732175455262,0.027001696801812945,2.0
96,359,0.0002264439472153622,0.028197382629364852,2.0
97,180,0.0003937910577709166,0.0396951491284805,2.0
98,472,0.00012115550389045,0.0195693545133547,2.0
99,403,0.00017917890509847024,0.023313333804132187,2.0
100,301,0.00017070715938133198,0.02709959254180163,2.0
101,674,9.084525119021185e-05,0.017002561307320453,2.0
102,563,0.00010078725794217132,0.012490165967072529,2.0
103,463,0.000132553169938354,0.017468347525126052,2.0
104,326,0.00019336229156662762,0.028946467458202507,2.0
105,561,0.00014505339172687847,0.015014996050498141,2.0
106,420,0.00012268264989047782,0.020118502816863577,2.0
107,546,0.00010142048795920419,0.013482943183901266,2.0
108,298,0.00016608180245054958,0.026495594410273847,2.0
109,186,0.00032031479253986304,0.037336819742400836,2.0
110,299,0.00017116536578503405,0.021459250520902334,2.0
111,268,0.00019248117569620277,0.017776468888504666,2.0
112,407,0.00013845151402869265,0.02552083904662838,2.0
113,245,0.00020065498243564768,0.03446095341751804,2.0
114,217,0.00023009869871584083,0.029154177798848605,2.0
115,266,0.00018578261263161737,0.030023846578240723,2.0
116,519,0.0001426957509840878,0.015117140397553495,2.0
117,298,0.0001700323872920985,0.024553289807820282,2.0
118,380,0.00014457428045907842,0.018313960129821203,2.0
119,460,0.00012013175149584878,0.01970592482198892,2.0
120,325,0.0001607125151461402,0.02403189864164093,2.0
121,438,0.000120002589476963,0.018707491282839328,2.0
122,304,0.00017279954542908328,0.02157077576515875,2.0
123,285,0.0001789487875500702,0.029006265746501045,2.0
124,292,0.000174158202033963,0.020614222183302732,2.0
125,404,0.00012481870903729492,0.019576857411671467,2.0
126,192,0.00025251521219615825,0.030380518669026912,2.0
127,286,0.000175661022841122,0.021989260924917157,2.0
128,295,0.00016760683927837447,0.03001605278395338,2.0
129,339,0.0001506366409954879,0.019661877816379864,2.0
130,275,0.00016991923268836796,0.02475402429225307,2.0
131,561,9.575427127616591e-05,0.011565857427699881,2.0
132,354,0.00013508392618402626,0.019465202075053707,2.0
133,363,0.00013338468690096854,0.01703190924489124,2.0
