Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
0,254,0.006097331177443266,0.0,11.499999999999998,-4.0,-6.0,-8.0
1,303,0.006097323726862669,0.0,-11.400000000000004,18.0,-7.0,-8.0
2,271,0.00609731487929821,0.0,-12.200000000000003,-8.0,18.0,-7.0
3,343,0.006097306031733751,0.0,-14.699999999999996,-3.0,18.0,-7.0
4,347,0.0060972971841692924,0.0,-13.600000000000005,-8.0,18.0,-5.0
5,423,0.006097288802266121,0.0,-14.59999999999999,18.0,-3.0,-5.0
6,547,0.0060972776263952255,0.0,-20.79999999999998,-5.0,-7.0,18.0
7,325,0.006097268313169479,0.0,-14.300000000000002,-5.0,18.0,-8.0
8,292,0.006097258999943733,0.0,-14.000000000000004,-8.0,18.0,-8.0
9,467,0.006097249686717987,0.0,-14.700000000000003,-3.0,-6.0,18.0
10,244,0.006097239442169666,0.0,-13.900000000000002,18.0,-7.0,-8.0
11,545,0.006097229663282633,0.0,-17.499999999999986,-8.0,-5.0,18.0
12,338,0.006097219418734312,0.0,-13.500000000000004,-5.0,18.0,-5.0
13,301,0.006097210105508566,0.0,-14.8,18.0,-7.0,-8.0
14,460,0.006097199860960245,0.0,-15.399999999999995,-4.0,18.0,-5.0
15,406,0.006097190082073212,0.0,-14.7,-8.0,-5.0,18.0
16,239,0.006097179837524891,0.0,11.599999999999998,-3.0,-7.0,-8.0
17,706,0.00609716959297657,0.0,-22.099999999999966,-4.0,18.0,-4.0
18,251,0.006097159348428249,0.0,10.999999999999998,-7.0,-8.0,-7.0
19,590,0.006097149103879929,0.0,3.7000000000000055,-4.0,-5.0,-3.0
20,360,0.006097138859331608,0.0,-15.399999999999999,18.0,-6.0,-6.0
21,290,0.006097127683460712,0.0,-13.000000000000002,-8.0,18.0,-5.0
22,248,0.006097117438912392,0.0,-13.300000000000002,18.0,-7.0,-5.0
23,320,0.006097107194364071,0.0,-15.2,-8.0,-7.0,18.0
24,287,0.0060970960184931755,0.0,-13.000000000000004,-8.0,18.0,-8.0
25,453,0.006097086239606142,0.0,-18.099999999999987,-4.0,18.0,-4.0
26,232,0.006097075529396534,0.0,11.7,-8.0,-8.0,-3.0
27,506,0.006097065284848213,0.0,-15.599999999999984,-7.0,18.0,-8.0
28,253,0.006097054108977318,0.0,-13.500000000000002,-6.0,18.0,-6.0
29,280,0.00609704339876771,0.0,-14.200000000000003,-5.0,-8.0,18.0
30,231,0.006097032222896814,0.0,-13.400000000000002,-7.0,18.0,-8.0
31,603,0.006097022444009781,0.0,-20.49999999999997,-6.0,-4.0,18.0
32,601,0.0060970112681388855,0.0,-19.599999999999973,-3.0,-5.0,18.0
33,297,0.006097000557929277,0.0,-14.3,-3.0,-8.0,18.0
34,399,0.006096989382058382,0.0,-15.999999999999996,-7.0,-3.0,18.0
35,460,0.006096978206187487,0.0,-14.200000000000003,-3.0,-6.0,18.0
36,510,0.006096966564655304,0.0,-16.499999999999993,-5.0,18.0,-5.0
37,391,0.006096955388784409,0.0,8.499999999999995,-5.0,-8.0,-5.0
38,488,0.0060969446785748005,0.0,-16.79999999999999,-4.0,-5.0,18.0
39,466,0.006096933502703905,0.0,6.300000000000004,-4.0,-6.0,-5.0
40,274,0.00609692232683301,0.0,-13.000000000000004,18.0,-7.0,-3.0
41,285,0.006096911150962114,0.0,-12.800000000000002,-8.0,-5.0,18.0
42,379,0.006096900440752506,0.0,-13.3,18.0,-3.0,-6.0
43,334,0.006096889264881611,0.0,-12.200000000000003,-8.0,18.0,-7.0
44,237,0.0060968780890107155,0.0,11.599999999999998,-8.0,-8.0,-7.0
45,324,0.006096866447478533,0.0,-13.400000000000006,-7.0,18.0,-7.0
46,234,0.006096855737268925,0.0,-13.400000000000002,18.0,-6.0,-8.0
47,544,0.006096844095736742,0.0,-17.199999999999985,-3.0,18.0,-5.0
48,344,0.006096833385527134,0.0,-14.300000000000004,-5.0,-6.0,18.0
49,320,0.0060968222096562386,0.0,-14.400000000000002,-6.0,-7.0,18.0
50,289,0.0060968101024627686,0.0,-12.400000000000002,-8.0,-3.0,18.0
51,372,0.0060967993922531605,0.0,8.199999999999994,-8.0,-5.0,-8.0
52,333,0.006096787750720978,0.0,-14.200000000000003,-5.0,18.0,-3.0
53,247,0.00609677704051137,0.0,-13.200000000000003,-7.0,-8.0,18.0
54,261,0.006096765398979187,0.0,-12.900000000000002,18.0,-7.0,-8.0
55,411,0.006096753757447004,0.0,-16.59999999999999,18.0,-6.0,-7.0
56,241,0.006096742581576109,0.0,-13.200000000000003,18.0,-3.0,-7.0
57,407,0.0060967314057052135,0.0,-13.9,18.0,-5.0,-6.0
58,352,0.006096719764173031,0.0,-13.400000000000006,-5.0,18.0,-6.0
59,356,0.0060967085883021355,0.0,-16.099999999999994,-6.0,18.0,-7.0
60,393,0.006096696946769953,0.0,-16.89999999999999,-5.0,18.0,-6.0
61,309,0.00609668530523777,0.0,-13.500000000000004,-7.0,18.0,-6.0
62,248,0.0060966722667217255,0.0,11.1,-8.0,-7.0,-6.0
63,342,0.006096660625189543,0.0,9.099999999999994,-5.0,-6.0,-8.0
64,267,0.006096649914979935,0.0,10.699999999999998,-3.0,-7.0,-8.0
65,318,0.006096638273447752,0.0,-12.900000000000004,-5.0,-6.0,18.0
66,236,0.006096626166254282,0.0,-13.000000000000002,18.0,-6.0,-7.0
67,382,0.006096614990383387,0.0,-13.3,18.0,-6.0,-7.0
68,379,0.006096603348851204,0.0,-12.000000000000004,-3.0,18.0,-3.0
69,260,0.006096591707319021,0.0,-12.900000000000002,18.0,-7.0,-7.0
70,573,0.0060965800657868385,0.0,-19.899999999999977,-3.0,-8.0,18.0
71,432,0.006096568424254656,0.0,7.1999999999999975,-7.0,-3.0,-3.0
72,621,0.006096556782722473,0.0,2.4000000000000306,-5.0,-6.0,-6.0
73,180,0.0060965451411902905,0.0,-10.5,-7.0,-8.0,18.0
74,422,0.006096533499658108,0.0,-15.7,-4.0,-4.0,18.0
75,247,0.006096521392464638,0.0,-13.400000000000002,-6.0,-5.0,18.0
76,583,0.006096509750932455,0.0,-17.59999999999998,-8.0,18.0,-7.0
77,310,0.00609649857506156,0.0,9.899999999999999,-5.0,-7.0,-6.0
78,352,0.006096486002206802,0.0,-16.299999999999994,18.0,-6.0,-8.0
79,441,0.00609647436067462,0.0,-18.099999999999987,-5.0,-4.0,18.0
80,377,0.006096462719142437,0.0,8.299999999999997,-7.0,-8.0,-8.0
81,425,0.006096450611948967,0.0,6.899999999999999,-8.0,-8.0,-8.0
82,336,0.006096439436078072,0.0,-11.300000000000002,18.0,-8.0,-6.0
83,299,0.006096426863223314,0.0,-14.7,-5.0,18.0,-8.0
84,282,0.006096415221691132,0.0,-14.3,18.0,-7.0,-4.0
85,380,0.006096403580158949,0.0,8.299999999999994,-4.0,-5.0,-8.0
86,454,0.006096391007304192,0.0,-15.09999999999999,18.0,-3.0,-5.0
87,531,0.006096379831433296,0.0,-17.59999999999998,-3.0,-4.0,18.0
88,448,0.006096366792917252,0.0,-16.79999999999999,-3.0,-7.0,18.0
89,284,0.006096354220062494,0.0,-12.800000000000002,-7.0,-7.0,18.0
90,240,0.006096342578530312,0.0,11.2,-6.0,-7.0,-8.0
91,347,0.006096330936998129,0.0,-13.800000000000002,-5.0,18.0,-8.0
92,338,0.006096318829804659,0.0,-14.799999999999997,18.0,-3.0,-8.0
93,345,0.006096307188272476,0.0,8.999999999999996,-8.0,-7.0,-4.0
94,446,0.006096294615417719,0.0,-17.19999999999999,-4.0,18.0,-3.0
95,383,0.006096282973885536,0.0,-12.400000000000006,-7.0,-5.0,18.0
96,311,0.006096270401030779,0.0,-12.400000000000004,-8.0,18.0,-8.0
97,402,0.0060962592251598835,0.0,-14.799999999999995,-7.0,18.0,-8.0
98,293,0.006096246652305126,0.0,-13.500000000000002,-6.0,18.0,-3.0
99,344,0.0060962350107729435,0.0,-15.299999999999999,-8.0,-4.0,18.0
