Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward
1597692822.6009197,0,300,-8.67803955078125,0.9144811630249023,-3.599999999999991,0
1597692824.649996,1,300,-50.002281188964844,1.0244519710540771,-3.4999999999999916,1
1597692826.774155,2,300,-45.72364807128906,0.9264637231826782,-3.5499999999999914,0
1597692828.897004,3,300,40.987213134765625,1.0598081350326538,-2.5999999999999917,0
1597692831.0734177,4,300,-13.837623596191406,0.8755629658699036,-3.699999999999991,0
1597692833.1815016,5,300,-2.204972982406616,0.9698526859283447,-3.7249999999999908,0
1597692835.2880979,6,300,-4.03495454788208,1.0094473361968994,-3.674999999999991,0
1597692836.6387496,7,178,-19.052026748657227,0.9806050658226013,9.799999999999999,-10
