Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward
1597692800.3254106,0,300,-6.817477703094482,1.0014491081237793,-0.27499999999999997,12
1597692800.5752635,1,300,-49.92097091674805,1.002765417098999,-0.19999999999999998,0
1597692800.7914271,2,300,-2.713238477706909,0.9913828372955322,-0.15,0
1597692801.1074393,3,300,-12.584850311279297,0.9919887185096741,0.825,0
1597692801.3086226,4,300,-35.561805725097656,0.889004647731781,-0.15,1
1597692801.462272,5,254,28.549503326416016,0.8777850866317749,-10.075,12
1597692801.6250396,6,210,3.7655224800109863,0.9559524655342102,-10.075,12
1597692801.8474698,7,285,35.338802337646484,0.9804837703704834,-10.175,12
1597692802.094879,8,268,3.232064962387085,0.8948657512664795,-10.25,12
1597692802.3954024,9,208,-14.990880012512207,1.0463190078735352,11.774999999999999,-10
1597692802.566269,10,300,-4.860366344451904,1.5917985439300537,-0.1,0
1597692802.881683,11,194,-13.820343971252441,1.0115137100219727,11.775,-10
1597692803.1824727,12,266,-0.7698962688446045,1.0751807689666748,11.674999999999999,-10
1597692803.414261,13,300,-75.73456573486328,0.9360034465789795,-0.175,0
1597692803.630666,14,258,10.394933700561523,0.9445280432701111,-10.15,12
1597692803.815598,15,300,-1.2486966848373413,1.0058825016021729,-0.125,1
1597692804.0000603,16,300,-10.31294059753418,1.0390268564224243,-0.1,0
1597692804.1849606,17,300,-49.40959548950195,0.9625924229621887,-0.1,0
1597692804.385491,18,224,6.863958358764648,1.0844067335128784,-10.15,12
1597692804.6483634,19,300,-75.92597961425781,0.9998095035552979,-0.22499999999999998,0
1597692804.9334297,20,300,-5.6755757331848145,0.9940860867500305,-0.3,0
1597692805.2338893,21,192,11.868159294128418,1.003092646598816,11.7,-10
1597692805.402725,22,225,53.75469207763672,1.0477237701416016,-10.1,12
1597692805.5719998,23,234,5.832755088806152,0.9673040509223938,-10.1,12
