Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward
1597681785.6159039,0,226,35.99415969848633,0.8890247344970703,-10.1,12
1597681785.7953403,1,300,-90.17396545410156,0.9907369613647461,-0.1,0
1597681786.1640046,2,287,-52.09780502319336,1.0636727809906006,11.6,-10
1597681786.395825,3,300,-1.4306879043579102,1.0719468593597412,-0.22499999999999998,0
1597681786.6184802,4,300,-13.542671203613281,0.9952383637428284,-0.07500000000000001,0
1597681786.8812957,5,300,-15.67944622039795,0.9142599701881409,-0.19999999999999998,0
1597681787.1675012,6,300,26.092933654785156,0.9570444226264954,0.7,0
1597681787.4825535,7,232,-5.858366012573242,1.0462819337844849,11.65,-10
1597681787.7833424,8,300,18.901660919189453,1.2288458347320557,0.775,0
1597681788.068506,9,300,8.767817497253418,1.0488684177398682,-0.22499999999999998,0
1597681788.3220382,10,300,4.250716209411621,0.9239489436149597,0.8,0
1597681788.6597822,11,278,-1.5478953123092651,1.0143407583236694,11.625,-10
1597681788.917864,12,300,-55.87448501586914,1.0195722579956055,-0.22499999999999998,0
1597681789.1012654,13,300,-9.311492919921875,0.953095018863678,-0.1,0
1597681789.3864255,14,300,-59.32633972167969,0.9767552018165588,0.825,0
1597681789.6803865,15,248,-6.840036869049072,0.9442461729049683,11.775,-10
1597681790.00335,16,300,-15.62342357635498,1.0503053665161133,-0.3,0
1597681790.2416325,17,300,-2.7986886501312256,0.9733061194419861,-0.19999999999999998,0
1597681790.5267932,18,300,-56.64735794067383,1.006399154663086,-0.22499999999999998,0
1597681790.7269754,19,300,-66.28347778320312,1.050611972808838,-0.15,0
1597681790.9588006,20,300,-58.88688659667969,0.9921866059303284,-0.175,0
1597681791.1076941,21,264,4.6620988845825195,1.0116240978240967,-10.05,12
1597681791.307263,22,300,-65.4170150756836,1.0124759674072266,-0.125,0
1597681791.4911635,23,300,-26.242246627807617,0.9800152778625488,-0.07500000000000001,0
1597681791.785408,24,151,136.43209838867188,1.0175694227218628,11.649999999999999,-10
1597681792.0458639,25,300,-51.92193603515625,1.0152592658996582,-0.15,0
1597681792.3466542,26,263,-13.755687713623047,1.0017366409301758,11.825,-10
1597681792.5090537,27,300,-30.325483322143555,0.9745095372200012,-0.07500000000000001,0
1597681792.7468932,28,300,-10.943567276000977,0.9695009589195251,0.7999999999999999,0
1597681793.0789347,29,249,30.20717430114746,1.0480631589889526,-9.2,12
1597681793.2950873,30,300,-38.5030403137207,1.0072957277297974,-0.15,0
1597681793.4799895,31,300,-12.349575996398926,0.9935506582260132,-0.1,0
1597681793.7819555,32,299,-7.035487651824951,1.0033150911331177,11.725,-10
1597681794.112542,33,270,-5.805133819580078,0.9897143244743347,11.674999999999999,-10
1597681794.3664522,34,300,-85.0754165649414,0.9275621175765991,-0.19999999999999998,0
1597681794.5982313,35,300,-17.492002487182617,0.8480766415596008,-0.175,0
1597681794.8990204,36,300,-10.021451950073242,1.0619454383850098,0.675,0
1597681795.1234999,37,300,-18.300949096679688,1.0006849765777588,-0.175,0
1597681795.3370793,38,300,-35.04635238647461,1.0549283027648926,-0.15,1
1597681795.5154765,39,300,-11.78885269165039,0.9760879874229431,-0.1,0
1597681795.800639,40,300,0.9479900598526001,0.9774394035339355,0.75,0
1597681796.0543616,41,300,-46.37938690185547,0.9155263304710388,-0.19999999999999998,0
1597681796.254434,42,300,-40.41072463989258,0.9748961329460144,-0.15,0
1597681796.494509,43,300,-32.423255920410156,1.0086296796798706,-0.175,0
1597681796.8187132,44,221,-15.991998672485352,0.8929305076599121,11.75,-10
1597681797.0333645,45,268,1.469200611114502,1.20353364944458,-10.125,12
1597681797.2021947,46,300,-38.64768981933594,0.9653751254081726,-0.05,0
1597681797.371467,47,300,-71.56006622314453,0.9715328812599182,-0.07500000000000001,0
1597681797.5407393,48,300,-22.6341495513916,0.8944380879402161,-0.07500000000000001,0
1597681797.7412663,49,254,1.5402309894561768,1.2244001626968384,-10.15,12
1597681797.9726267,50,300,-22.315793991088867,0.9549591541290283,-0.19999999999999998,0
1597681798.157568,51,300,-5.917549133300781,1.0530169010162354,-0.15,0
1597681798.458354,52,300,-10.249004364013672,1.0076318979263306,0.6999999999999998,0
1597681798.690132,53,300,-79.77774810791016,0.9652705192565918,-0.19999999999999998,0
1597681798.8906615,54,300,-15.436485290527344,0.8649857044219971,-0.175,0
1597681799.2086005,55,300,-4.795992851257324,0.981957197189331,-0.22499999999999998,0
1597681799.4918232,56,300,-52.07843017578125,1.0010285377502441,-0.3,0
1597681799.6610987,57,300,-6.382818222045898,1.0648307800292969,-0.1,1
1597681799.8616233,58,278,1.4679139852523804,1.2337164878845215,-10.15,12
1597681800.1402812,59,300,39.762569427490234,0.9698701500892639,0.7749999999999999,0
1597681800.3473127,60,285,35.69058609008789,1.026513695716858,-10.15,12
1597681800.5100837,61,279,13.267660140991211,0.9938132166862488,-10.075,12
1597681800.6790223,62,178,12.351661682128906,1.014331579208374,-10.125,12
1597681800.8790996,63,300,-44.65034103393555,0.9309007525444031,-0.125,1
1597681801.1642642,64,300,38.498191833496094,1.0152391195297241,0.7499999999999999,0
1597681801.3114061,65,300,-17.6832275390625,0.9895698428153992,-0.07500000000000001,1
1597681801.6278236,66,254,-2.258236885070801,1.0050727128982544,11.725,-10
1597681801.9505837,67,300,3.35335636138916,0.9908756613731384,-0.325,0
1597681802.1819248,68,300,-67.37154388427734,1.0814036130905151,-0.15,1
1597681802.3511958,69,300,-2.38840389251709,0.992806613445282,-0.1,0
1597681802.5986025,70,300,-36.485172271728516,0.9972561001777649,0.7999999999999999,0
1597681802.8147533,71,300,-51.05567169189453,1.0162549018859863,-0.175,0
1597681803.0309048,72,300,-5.631641387939453,1.0068501234054565,-0.125,0
1597681803.2314322,73,227,25.438385009765625,1.0219858884811401,-10.1,12
1597681803.4537554,74,300,-45.97971725463867,1.0024088621139526,-0.15,0
1597681803.6855786,75,225,5.141817569732666,1.0179171562194824,-9.175,12
1597681803.955614,76,300,9.289016723632812,0.9986265897750854,0.775,0
1597681804.1873934,77,300,-26.18863296508789,1.0062706470489502,-0.22499999999999998,1
1597681804.4725537,78,300,-10.168195724487305,1.0063161849975586,-0.175,0
1597681804.6899087,79,300,-25.880706787109375,0.9622100591659546,-0.15,0
1597681804.8355489,80,169,0.9342011213302612,1.034644365310669,-10.075,12
1597681805.1202712,81,300,-1.81489098072052,0.932781457901001,0.725,0
1597681805.4588172,82,208,36.06941604614258,1.0093774795532227,11.674999999999999,-10
1597681805.822116,83,252,50.87958908081055,1.018612027168274,11.7,-10
1597681806.1069312,84,300,-0.006125299725681543,0.9932882189750671,0.7,0
1597681806.4072685,85,300,4.078268527984619,1.004062533378601,0.7999999999999999,0
1597681806.7393098,86,292,-1.4139814376831055,1.1574037075042725,-10.35,12
1597681806.9110198,87,192,55.383880615234375,1.0477190017700195,-10.15,12
1597681807.2577412,88,300,2.865887403488159,1.0576212406158447,0.6499999999999999,0
1597681807.4115264,89,300,-36.5662956237793,0.9856210947036743,-0.05,0
1597681807.5793002,90,300,-41.72208786010742,0.9479300379753113,-0.1,0
1597681807.7572536,91,300,-6.538570404052734,0.9775774478912354,-0.1,1
1597681808.2649713,92,248,-12.70911693572998,1.0022506713867188,11.7,-10
