Episode,Steps,ActorLoss,CriticLoss,Reward
0,480,0.006093275733292103,0.00028604455292224884,18.0
1,273,0.006098681595176458,4.383393388707191e-05,-7.0
2,369,0.006101340055465698,0.008618618361651897,18.0
3,446,0.006105954293161631,0.00014208367792889476,18.0
4,370,0.0060990541242063046,0.007276283111423254,18.0
5,322,0.006100163329392672,1.5296182027668692e-05,18.0
6,384,0.006097433157265186,0.011036189272999763,-8.0
7,252,0.0060938517563045025,2.859334199456498e-05,-7.0
8,360,0.006097574718296528,0.0026353185530751944,-6.0
9,450,0.006095495540648699,4.003772119176574e-06,18.0
10,384,0.006084541790187359,9.511079952062573e-06,-8.0
11,245,0.006097797304391861,0.001511025708168745,-7.0
12,398,0.006097881123423576,0.017854012548923492,-5.0
13,492,0.006102884653955698,0.0006072291871532798,18.0
14,345,0.006098118145018816,0.026449324563145638,18.0
15,298,0.006093982141464949,0.00018972903490066528,18.0
16,243,0.006094441749155521,0.0015204017981886864,-8.0
17,412,0.006098506972193718,0.08859598636627197,-3.0
18,229,0.006076309364289045,0.004301097244024277,-5.0
19,432,0.006095750257372856,6.600460619665682e-05,-3.0
20,298,0.0060878051444888115,0.0026778269093483686,-4.0
21,254,0.006100188009440899,0.005635777022689581,-8.0
22,211,0.006098887883126736,0.021878188475966454,-7.0
23,574,0.006098948419094086,8.65989932208322e-06,-3.0
24,460,0.006096187978982925,3.063563781324774e-05,18.0
25,432,0.0060761477798223495,0.00014843100507277995,18.0
26,394,0.006099100224673748,0.038862891495227814,-7.0
27,315,0.006092752795666456,0.002271783072501421,18.0
28,400,0.0060990191996097565,0.13548411428928375,18.0
29,273,0.006082550156861544,0.0006989661487750709,-7.0
30,458,0.006101347040385008,0.0009651426807977259,-8.0
31,342,0.006102764513343573,7.690016354899853e-05,-4.0
32,260,0.006098591722548008,0.03987259045243263,-4.0
33,398,0.0060984366573393345,0.27896517515182495,-7.0
34,341,0.006100131198763847,0.00010804219346027821,18.0
35,701,0.006091376766562462,0.0004789679078385234,18.0
36,309,0.006106926593929529,1.2379576219245791e-05,18.0
37,352,0.006103904452174902,0.0006561026093550026,18.0
38,338,0.006094925105571747,0.0011828895658254623,-4.0
