Episode,Steps,ActorLoss,CriticLoss,Reward
0,425,0.001463770646163646,0.012782882311764885,3.0
1,229,0.0014918602303516397,0.034516576921575455,6.0
2,321,0.001690070082453831,0.031885031738385236,8.0
3,309,0.001479168127149247,0.022798592797375034,4.0
4,296,0.0013997792376431862,0.014138570458099648,2.0
5,394,0.0015622431348517613,0.01873586565104838,6.0
6,324,0.0013905818355672154,0.012709063742263818,2.0
7,325,0.0014996633119881153,0.020714037464215206,5.0
8,235,0.0013213193262035542,0.015233139471804841,2.0
9,225,0.0013259682804346085,0.014179378946622212,2.0
10,196,0.001491391423101328,0.024425188193515857,3.0
11,511,0.0015126018048630418,0.012381116850502104,3.0
12,311,0.0014479256285971384,0.018069810949721137,3.0
13,246,0.0014574007222020046,0.02636022538673587,4.0
14,633,0.0014899749938533959,0.015011700526421293,5.0
15,237,0.0013595220852910467,0.018254239725161204,2.0
16,510,0.0015016827732324601,0.019684598609512927,6.0
17,353,0.0014801415451208694,0.01339260579506331,3.0
18,329,0.0015139140480263074,0.02214356890021849,5.0
19,296,0.0016635607965793963,0.031849205493927,8.0
20,544,0.0015043625265688582,0.019178262774777764,7.0
21,368,0.0013997359960542424,0.017623178215454453,4.0
22,252,0.0014179428921095908,0.018499801378874553,3.0
23,181,0.0015441297388825957,0.034013014718972515,5.0
24,296,0.0013694004737772048,0.019279849690359993,4.0
25,783,0.001495050579799508,0.010491067174902974,3.0
26,309,0.0013478303487897884,0.014250322453026633,2.0
27,561,0.0015277068633685776,0.017353561871192035,8.0
28,265,0.0013411763897341377,0.018719461616480127,3.0
29,191,0.0015194985225640667,0.026979821904791586,4.0
30,343,0.001400992654416026,0.01518964341708592,3.0
31,511,0.0015634361630826898,0.02526210811273459,8.0
32,443,0.001517587331907811,0.02619772984669386,7.0
33,297,0.0014365277729727803,0.019498531364832664,3.0
34,439,0.0014934885614723442,0.01961517344167401,5.0
35,274,0.0013963068176033723,0.016839948448821578,2.0
36,480,0.0015322079532779753,0.022040776939441762,8.0
37,450,0.0014113205733398597,0.013178698950343662,3.0
38,483,0.001482795490102368,0.021419619613059066,6.0
39,381,0.001365916537037828,0.01793247500429629,2.0
40,438,0.0014707007632510031,0.017292876698110745,4.0
41,258,0.0013266010751384635,0.014462151557438133,2.0
42,365,0.0014811132358361597,0.02463861777357859,5.0
43,358,0.0013610003607129086,0.017071206809422156,3.0
44,365,0.0013315986829159194,0.016645859937145284,4.0
45,329,0.0014091779642078832,0.011934152761853575,2.0
46,530,0.001447702032285479,0.018977781905318205,8.0
47,269,0.0012816381813840574,0.013714780483990354,2.0
48,1184,0.0012191348352054185,0.013377572309125113,8.0
49,295,0.00097779852922185,0.013193365072799942,2.0
50,595,0.0009832094525214002,0.015286294352106688,3.0
51,320,0.001110391417023493,0.015474856179207564,2.0
52,278,0.0010884705572489568,0.01825952647830085,3.0
