Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
1596619992.6439376,0,373,-917.7055053710938,1.023514747619629,-16.199999999999996,18.0,-6.0,-3.0
1596619995.8323789,1,408,-710.5333251953125,1.030499815940857,-14.8,-8.0,-5.0,18.0
1596619998.2360077,2,318,-1301.6348876953125,1.002018690109253,-14.100000000000001,-8.0,18.0,-3.0
1596620000.645658,3,312,-1018.1734619140625,1.0650357007980347,-14.3,18.0,-6.0,-8.0
1596620002.8490548,4,284,-488.1774597167969,1.0109056234359741,-14.7,-8.0,18.0,-7.0
1596620006.8286116,5,536,-362.827880859375,1.0511797666549683,-20.69999999999998,18.0,-5.0,-5.0
1596620010.7334108,6,509,-356.1756896972656,1.0239319801330566,-19.899999999999984,-7.0,18.0,-3.0
1596620014.052333,7,412,-847.1655883789062,1.038906455039978,-14.99999999999999,-5.0,18.0,-4.0
1596620017.6469736,8,468,-708.0574951171875,1.0189565420150757,-16.99999999999999,-3.0,-5.0,18.0
1596620019.3660402,9,225,93.69605255126953,0.9715916514396667,-12.900000000000002,-8.0,-6.0,18.0
1596620022.7409964,10,423,-959.4434204101562,1.0164984464645386,-16.499999999999993,18.0,-6.0,-4.0
1596620026.5568602,11,357,437.0433044433594,0.9964228272438049,-12.800000000000004,-4.0,-8.0,18.0
1596620030.6480176,12,380,-1232.3974609375,1.0240284204483032,8.399999999999995,-6.0,-7.0,-4.0
1596620034.6144238,13,348,189.53466796875,0.984977662563324,-11.500000000000004,18.0,-6.0,-4.0
1596620037.1129525,14,253,1923.8486328125,1.056922197341919,-12.900000000000002,18.0,-8.0,-8.0
1596620040.1124961,15,226,804.7968139648438,1.0127928256988525,-11.400000000000002,-8.0,18.0,-6.0
1596620043.1393442,16,296,-310.1902770996094,1.0078290700912476,-13.000000000000004,18.0,-6.0,-7.0
1596620046.7331579,17,363,-1270.8909912109375,1.0027384757995605,8.899999999999997,-4.0,-3.0,-6.0
1596620052.503257,18,472,-420.3541259765625,1.0070316791534424,6.399999999999995,-3.0,-8.0,-5.0
1596620057.3023303,19,364,-1198.9949951171875,1.0263818502426147,8.999999999999996,-5.0,-3.0,-5.0
1596620061.026088,20,357,739.3568115234375,1.0326881408691406,-13.000000000000005,18.0,-5.0,-6.0
1596620063.9121459,21,317,459.0374450683594,1.0115630626678467,-13.700000000000001,-8.0,-7.0,18.0
1596620066.619615,22,298,1719.403076171875,0.9838902950286865,-12.500000000000004,18.0,-8.0,-7.0
1596620068.753951,23,242,-497.7376708984375,0.9750918745994568,-12.600000000000001,-5.0,18.0,-6.0
1596620072.6870267,24,391,818.047607421875,1.0185182094573975,-13.700000000000005,-6.0,-7.0,18.0
1596620076.79153,25,490,664.6204223632812,1.005569577217102,-14.999999999999986,-8.0,-5.0,18.0
1596620079.4043903,26,314,516.191162109375,0.971575140953064,-14.200000000000003,-5.0,18.0,-3.0
1596620083.4470336,27,437,967.260009765625,1.0133816003799438,-16.499999999999986,-5.0,-3.0,18.0
1596620086.2388027,28,329,1145.6419677734375,0.9668091535568237,-13.100000000000005,-6.0,18.0,-7.0
1596620090.5039806,29,487,586.2064819335938,1.003623366355896,-16.29999999999998,-4.0,-8.0,18.0
1596620094.1001463,30,454,1285.9593505859375,0.9856931567192078,-16.899999999999984,18.0,-6.0,-6.0
1596620099.0179868,31,598,1413.476318359375,1.0046703815460205,-18.89999999999998,-4.0,-3.0,18.0
1596620101.2663813,32,261,1308.2364501953125,0.9902346134185791,-11.900000000000002,-7.0,18.0,-8.0
