Episode,Steps,ActorLoss,CriticLoss,Reward
0,577,0.006095577962696552,0.060798149555921555,-4.0
1,394,0.006097328849136829,0.041287705302238464,18.0
2,309,0.0060997651889920235,0.11517565697431564,-6.0
3,242,0.006090686656534672,0.01579318195581436,-5.0
4,321,0.006097215227782726,0.12506991624832153,18.0
5,491,0.006092733237892389,0.014202699065208435,-7.0
6,267,0.006097130477428436,0.19290514290332794,18.0
7,385,0.0060982550494372845,0.018485501408576965,-4.0
8,472,0.006099643651396036,0.026111073791980743,18.0
9,284,0.006098354700952768,0.0020525604486465454,18.0
10,263,0.0060958112590014935,0.029779653996229172,-8.0
11,543,0.006096954923123121,0.12043371051549911,18.0
12,243,0.006096915807574987,0.16824476420879364,-8.0
13,256,0.006104117725044489,0.020128369331359863,18.0
14,265,0.006096827331930399,0.2204871028661728,-8.0
15,282,0.006096776109188795,0.1692027747631073,-8.0
16,301,0.006096718832850456,0.11641162633895874,-8.0
17,355,0.006096654571592808,0.16459104418754578,-5.0
18,372,0.006094358861446381,0.002104729413986206,18.0
19,315,0.0060965269804000854,0.21333591639995575,-5.0
20,369,0.006106449291110039,0.013363555073738098,-5.0
21,405,0.006096397992223501,0.2332063764333725,-4.0
22,330,0.006096330471336842,0.17170962691307068,-3.0
23,326,0.006097025237977505,0.036790087819099426,18.0
24,313,0.006096197757869959,0.164079487323761,18.0
25,262,0.006101775914430618,0.031030789017677307,-8.0
26,307,0.0060990131460130215,0.012128159403800964,-5.0
27,288,0.006101581733673811,0.027608022093772888,-7.0
28,254,0.006098242476582527,0.011474609375,-8.0
29,315,0.006090871524065733,0.005960986018180847,-3.0
30,390,0.006091850809752941,0.0651727020740509,-3.0
31,425,0.006095885299146175,0.09450815618038177,-8.0
32,525,0.006083919666707516,0.03533888980746269,-3.0
33,408,0.006081799510866404,0.012976579368114471,-3.0
34,261,0.006095764227211475,0.004740603268146515,-6.0
35,370,0.006103240419179201,0.008893422782421112,-6.0
36,304,0.006095686461776495,0.06234602630138397,-8.0
37,591,0.00609506806358695,0.013569522649049759,18.0
38,324,0.006095596123486757,0.0872919112443924,-4.0
39,403,0.006098052021116018,0.018567567691206932,18.0
40,399,0.006095502525568008,0.03011753037571907,-8.0
41,292,0.0060980068519711494,0.0009180940687656403,-8.0
42,308,0.006105954293161631,0.030111735686659813,-8.0
43,361,0.006095371209084988,0.014862190932035446,-5.0
44,403,0.006101441103965044,0.02019359916448593,-8.0
45,281,0.006100081373006105,0.021443776786327362,-4.0
46,397,0.006092163268476725,0.02740313857793808,-7.0
47,381,0.006100645288825035,0.01403314620256424,-7.0
48,281,0.006096863653510809,0.02684948593378067,-8.0
49,373,0.006096860393881798,0.039555639028549194,-7.0
50,414,0.0060951123014092445,0.011753927916288376,18.0
51,535,0.006099560763686895,0.004953786730766296,18.0
52,397,0.006099157966673374,0.014316201210021973,-3.0
53,590,0.006097882520407438,0.04270827770233154,-4.0
54,434,0.006095011252909899,0.0024651922285556793,-7.0
55,261,0.0060949781909585,0.02586638182401657,-8.0
56,399,0.0060991342179477215,0.026188552379608154,-3.0
57,302,0.0061014867387712,0.008479427546262741,-8.0
58,388,0.006099030841141939,0.03360643982887268,-6.0
59,246,0.006090156733989716,0.012160848826169968,-4.0
60,412,0.006092661991715431,0.014672469347715378,-3.0
61,265,0.006091938819736242,0.006202198565006256,-4.0
62,441,0.006098419427871704,0.00887507013976574,-4.0
63,305,0.0060979947447776794,0.014506042003631592,-7.0
64,553,0.006099019665271044,0.01762527972459793,-6.0
65,236,0.006094764918088913,0.0429706871509552,-8.0
66,296,0.006094745360314846,0.00846460647881031,-5.0
67,355,0.006094706244766712,0.025089159607887268,-5.0
68,381,0.006096188444644213,0.02163781225681305,18.0
69,309,0.006105837877839804,0.02990224026143551,-6.0
70,301,0.006084592081606388,0.008914962410926819,-7.0
71,332,0.00610506534576416,0.028682783246040344,-4.0
72,449,0.006094553507864475,0.06610457599163055,18.0
